RE_Identity	Normalized	FOLD	condensed
7Sp7	0.678526048284625	-1.24829559605984	7Sp7
hh7S	0.831942789034565	-0.954215476470082	hh7S
7ppp	0.39922480620155	-2.01349843047995	7ppp
SppB	0.764452938365982	-1.0762721087209	Spp
7hSp	0.478350515463918	-1.75263164418683	7hSp
p77p	0.348096348096348	-2.21121311840301	p77p
B7Sh	0.490719782707107	-1.71580036424131	7Sh
h7Sp	0.216288384512684	-2.89774360781404	h7Sp
77BB	0.197368421052632	-3.02980862007498	77
ppSS	0.470217238962859	-1.77737236551549	ppSS
Bh7S	0.50561797752809	-1.67265203687663	h7S
pBSS	1.02576112412178	-0.652076902259228	pSS
pSSh	0.376093294460641	-2.09960921298947	pSSh
phpS	0.367929168716183	-2.13127174219701	phpS
h7Sp	0.459016393442623	-1.81215411774519	h7Sp
hShh	0.278820375335121	-2.53136380435406	hShh
pS7h	0.218675559790376	-2.88190781011826	pS7h
7pcx4	0.255578093306288	-2.65693561511791	7pcx4
SpBB	1.23319027181688	-0.386376288526249	Sp
Bhh7	1.6866048862679	0.0653503369541756	hh7
hBBS	0.694915254237288	-1.21386274698367	hS
pS77	0.316479400749064	-2.34858819764528	pS77
7BhS	0.546426185704743	-1.56067317535658	7hS
BhpS	0.423140495867769	-1.92956303440187	hpS
BS7p	0.276773296244784	-2.54199504213556	S7p
SBpp	0.821905200184077	-0.971727796299971	Spp
7ppB	1.22386634844869	-0.397325684207884	7pp
SSB7	1.02758913412564	-0.649508162071435	SS7
ppSp	0.442694663167104	-1.86438781576008	ppSp
h7pp	0.386958591147073	-2.05852060683793	h7pp
SpB7	0.476351351351351	-1.75867371547007	Sp7
SS77	0.5130727413927	-1.65153641728535	SS77
S77S	0.349965588437715	-2.20348672601525	S77S
7Shp	0.990789473684211	-0.702121255898931	7Shp
BpBh	0.494422027059103	-1.70495677876152	ph
7h77	0.34828729281768	-2.21042195964147	7h77
hBSh	0.787561083962683	-1.03330797253224	hSh
hhB7	1.41607528540574	-0.186873734139452	hh7
phS7	0.519675202998126	-1.63308957661508	phS7
h7p7	2.02801120448179	0.331293920814194	h7p7
hS77	0.420600858369099	-1.93824800277898	hS77
