RE_Identity	Normalized	FOLD	condensed
6merx2	1.30103280680437	-0.0174482239118335	6merx2
pS7p	0.468607825295723	-1.4906526142599	pS7p
hphB	1.42639035550862	0.115263287992304	hph
h77p	0.676328502415459	-0.961309505935609	h77p
SBhp	1.62750333778371	0.305554936780211	Shp
S7Bp	1.1588785046729	-0.184376241395522	S7p
hp7S	0.725352112676056	-0.860352157702714	hp7S
hphp	1.40010278079141	0.0884271731427841	hphp
php7	0.848043676069154	-0.634895091676201	php7
phpB	1.92688570106432	0.54916543105866	php
p7hp	1.16237238697132	-0.180033229194556	p7hp
hShB	1.38685160554817	0.0747078607855615	hSh
hS7h	0.48922056384743	-1.42854861303213	hS7h
B7BS	1.50852272727273	0.196030866785606	7S
7p7p	0.600901916572717	-1.13190413692314	7p7p
S7pB	1.1294498381877	-0.221485367075972	S7p
ShSB	2.12647554806071	0.691358700400966	ShS
h7pS	1.75471698113208	0.414132791163582	h7pS
77S7	1.54241645244216	0.228086780128439	77S7
S7hh	0.555555555555556	-1.2451024719362	S7hh
7BSB	0.746551724137931	-0.81879144066946	7S
BB7S	0.79601226993865	-0.726242991254447	7S
77pS	0.491329479768786	-1.42234285688027	77pS
BBBp	0.942006269592476	-0.483296998434934	p
pSBB	0.8366124893071	-0.654474124960673	pS
hhSh	0.500312304809494	-1.3962047254888	hhSh
BBS7	1.82298850574713	0.469199899586638	S7
BShB	1.09469964664311	-0.266570474310926	Sh
Sh7p	0.688188976377953	-0.93622887754018	Sh7p
BBpS	1.84190715181932	0.484094773471491	pS
SS7S	0.409090909090909	-1.68661218257623	SS7S
BBpS	1.11320754716981	-0.242382970582608	pS
7SpB	0.923482849604222	-0.511948491720013	7Sp
pBp7	0.699421965317919	-0.91287055574338	pp7
Sp77	1.29360465116279	-0.0257087942295877	Sp77
pSBB	1.00517063081696	-0.38966514125231	pS
pShB	1.42776546443683	0.116653445439943	pSh
7Bp7	0.652477320307048	-1.0131059048684	7p7
7BSB	0.843296575739988	-0.642993563973357	7S
7pcx4	0.702380952380952	-0.906779938798169	7pcx4
pShp	1.58588672237697	0.268184159695033	pShp
hSh7	0.534674430915828	-1.30037297413046	hSh7
h7BS	0.894495412844037	-0.557959576408566	h7S
pSh7	0.365805168986084	-1.84795819912976	pSh7
SB7p	0.946210268948655	-0.476872842178588	S7p
